team_id,team_name,player_id,player_name,player_number,position,birthday
43921,USA,448217,Matt TURNER,1,Goalkeeper,1994-06-24T00:00:00Z
43921,USA,406280,Sergino DEST,2,Defender,2000-11-03T00:00:00Z
43921,USA,419062,Chris RICHARDS,3,Defender,2000-03-28T00:00:00Z
43921,USA,390238,Tyler ADAMS,4,Midfielder,1999-02-14T00:00:00Z
43921,USA,441251,Antonee ROBINSON,5,Defender,1997-08-08T00:00:00Z
43921,USA,390272,Auston TRUSTY,6,Defender,1998-08-12T00:00:00Z
43921,USA,419068,Giovanni REYNA,7,Midfielder,2002-11-13T00:00:00Z
43921,USA,390259,Weston McKENNIE,8,Midfielder,1998-08-28T00:00:00Z
43921,USA,419082,Ricardo PEPI,9,Forward,2003-01-09T00:00:00Z
43921,USA,390267,Christian PULISIC,10,Forward,1998-09-18T00:00:00Z
43921,USA,419055,Brenden AARONSON,11,Forward,2000-10-22T00:00:00Z
43921,USA,436599,Miles ROBINSON,12,Defender,1997-03-14T00:00:00Z
43921,USA,339510,Tim REAM,13,Defender,1987-10-05T00:00:00Z
43921,USA,499912,Sebastian BERHALTER,14,Midfielder,2001-05-10T00:00:00Z
43921,USA,385994,Cristian ROLDAN,15,Midfielder,1995-06-03T00:00:00Z
43921,USA,464542,Alex FREEMAN,16,Defender,2004-08-09T00:00:00Z
43921,USA,448214,Malik TILLMAN,17,Midfielder,2002-05-28T00:00:00Z
43921,USA,486390,Max ARFSTEN,18,Defender,2001-04-19T00:00:00Z
43921,USA,390276,Haji WRIGHT,19,Forward,1998-03-27T00:00:00Z
43921,USA,466624,Folarin BALOGUN,20,Forward,2001-07-03T00:00:00Z
43921,USA,406304,Timothy WEAH,21,Forward,2000-02-22T00:00:00Z
43921,USA,419077,Mark McKENZIE,22,Defender,1999-02-25T00:00:00Z
43921,USA,423700,Joe SCALLY,23,Defender,2002-12-31T00:00:00Z
43921,USA,499913,Matt FREESE,24,Goalkeeper,1998-09-02T00:00:00Z
43921,USA,464546,Chris BRADY,25,Goalkeeper,2004-03-03T00:00:00Z
43921,USA,390278,Alex ZENDEJAS,26,Forward,1998-02-07T00:00:00Z
43911,MEX,485070,Raul RANGEL,1,Goalkeeper,2000-02-25T00:00:00Z
43911,MEX,403596,Jorge SANCHEZ,2,Defender,1997-12-10T00:00:00Z
43911,MEX,395516,Cesar MONTES,3,Defender,1997-02-24T00:00:00Z
43911,MEX,400634,Edson ALVAREZ,4,Defender,1997-10-24T00:00:00Z
43911,MEX,425701,Johan VASQUEZ,5,Defender,1998-10-22T00:00:00Z
43911,MEX,419518,Erik LIRA,6,Midfielder,2000-05-08T00:00:00Z
43911,MEX,430763,Luis ROMO,7,Midfielder,1995-06-05T00:00:00Z
43911,MEX,416576,Alvaro FIDALGO,8,Midfielder,1997-04-09T00:00:00Z
43911,MEX,356731,Raul JIMENEZ,9,Forward,1991-05-05T00:00:00Z
43911,MEX,430766,Alexis VEGA,10,Forward,1997-11-25T00:00:00Z
43911,MEX,430759,Santiago GIMENEZ,11,Forward,2001-04-18T00:00:00Z
43911,MEX,441260,Carlos ACEVEDO,12,Goalkeeper,1996-04-19T00:00:00Z
43911,MEX,215285,Guillermo OCHOA,13,Goalkeeper,1985-07-13T00:00:00Z
43911,MEX,514336,Armando GONZALEZ,14,Forward,2003-04-20T00:00:00Z
